当前时刻	小车位置	摆杆偏角	指标11	指标12	指标2	估计误差能量	
0.890000	-0.003692	0.000000	0.012175	0.010695	0.000296	0.000134
0.900000	-0.004281	0.004363	0.012272	0.012301	0.000141	0.000072
0.910000	-0.004894	0.021817	0.019330	0.013867	0.000182	0.000086
0.920000	-0.005557	0.021817	0.004343	0.015089	0.000286	0.000127
0.930000	-0.006317	0.009973	0.003876	0.002417	0.000256	0.000114
0.940000	-0.007041	0.009973	0.001223	0.002956	0.000238	0.000105
0.950000	-0.007789	0.009973	0.002680	0.005291	0.000239	0.000105
0.960000	-0.008587	0.008727	0.012215	0.011208	0.000088	0.000046
0.970000	-0.009482	0.031416	0.004899	0.010627	0.000245	0.000109
0.980000	-0.010316	0.031416	0.021273	0.049470	0.000438	0.000187
0.990000	-0.011175	0.013963	0.018807	0.019451	0.000438	0.000187
1.000000	-0.012132	0.013963	0.022340	0.022490	0.000437	0.000187
1.009000	-0.013199	0.002909	0.020400	0.011638	0.000486	0.000211
1.020000	-0.014438	0.000000	0.020228	0.027501	0.000270	0.000129
1.030000	-0.015579	0.000000	0.001896	0.013621	0.000104	0.000066
1.040000	-0.016781	0.017453	0.010763	0.010858	0.000176	0.000091
1.049000	-0.018057	0.000000	0.010983	0.016003	0.000193	0.000101
1.060000	-0.019467	0.000000	0.006693	0.004434	0.000152	0.000083
1.070000	-0.020706	0.000000	0.002525	0.005834	0.000103	0.000059
1.080000	-0.021957	0.003491	0.006240	0.005075	0.000079	0.000045
1.090000	-0.023258	0.003491	0.006583	0.004682	0.000013	0.000022
1.100000	-0.024644	0.000000	0.006970	0.007087	0.000004	0.000011
1.110000	-0.025883	0.000000	0.002324	0.001930	0.000011	0.000006
1.120000	-0.027097	0.000000	0.001458	0.003286	0.000011	0.000004
1.130000	-0.028361	-0.004987	0.003831	0.004873	0.000012	0.000006
1.140000	-0.029722	-0.004987	0.003870	0.003643	0.000017	0.000006
1.150000	-0.030887	-0.012467	0.007669	0.015386	0.000009	0.000020
1.160000	-0.032077	-0.008727	0.007893	0.004729	0.000009	0.000021
1.170000	-0.033292	-0.008727	0.006610	0.006039	0.000007	0.000021
1.180000	-0.034617	-0.004987	0.018953	0.018467	0.000013	0.000021
1.190000	-0.035770	-0.010908	0.018552	0.017900	0.000013	0.000021
1.200000	-0.036849	-0.010908	0.015679	0.015227	0.000014	0.000007
1.210000	-0.037965	-0.017453	0.016831	0.019145	0.000004	0.000016
