当前时刻	小车位置	摆杆偏角	指标1	指标2	
1.221000	-0.026950	0.004987	0.030712	0.000407
1.230000	-0.027416	0.000000	0.039077	0.000408
1.240000	-0.027759	0.000000	0.008365	0.000212
1.250000	-0.027980	0.000000	0.005075	0.000062
1.261000	-0.028201	0.002909	0.010895	0.000042
1.270000	-0.028348	0.000000	0.008208	0.000030
1.280000	-0.028422	0.000000	0.002914	0.000018
1.290000	-0.028520	0.000000	0.003268	0.000008
1.300000	-0.028716	0.008727	0.010989	0.000028
1.310000	-0.029072	0.008727	0.002148	0.000048
1.320000	-0.029489	0.000000	0.002623	0.000044
1.330000	-0.029906	0.000000	0.006364	0.000043
1.340000	-0.030250	0.000000	0.004011	0.000041
1.350000	-0.030569	-0.003491	0.008393	0.000023
1.360000	-0.030973	-0.003491	0.001089	0.000004
1.370000	-0.031489	0.000000	0.002274	0.000001
1.380000	-0.032041	0.002909	0.005553	0.000010
1.390000	-0.032654	0.002909	0.004075	0.000022
1.400000	-0.033243	0.000000	0.009474	0.000019
1.410000	-0.033966	0.000000	0.012549	0.000030
1.420000	-0.034837	0.000000	0.009537	0.000045
1.430000	-0.035868	0.000000	0.007598	0.000049
1.440000	-0.036739	-0.003491	0.005376	0.000040
1.450000	-0.037438	-0.003491	0.007944	0.000041
1.460000	-0.037953	-0.010908	0.012853	0.000072
1.471000	-0.038284	-0.012467	0.011087	0.000108
1.480000	-0.038382	-0.012467	0.008665	0.000126
1.490000	-0.038456	-0.014960	0.009004	0.000165
1.500000	-0.038615	-0.014960	0.010246	0.000189
1.511000	-0.038849	0.000000	0.003135	0.000172
1.520000	-0.039045	-0.008727	0.002611	0.000119
1.530000	-0.039266	-0.008727	0.007693	0.000085
1.540000	-0.039499	-0.004987	0.005415	0.000047
1.550000	-0.039756	0.000000	0.011019	0.000053
1.560000	-0.040137	0.000000	0.010281	0.000059
1.570000	-0.040615	-0.004987	0.008211	0.000059
1.580000	-0.041106	0.000000	0.004422	0.000075
1.590000	-0.041461	0.000000	0.003389	0.000079
1.600000	-0.041658	-0.004987	0.007861	0.000043
1.610000	-0.041793	0.000000	0.007772	0.000013
1.620000	-0.042001	0.000000	0.003953	0.000022
1.630000	-0.042418	-0.004987	0.005784	0.000007
1.640000	-0.043068	-0.004987	0.007138	0.000002
1.650000	-0.043755	0.000000	0.011121	0.000020
1.660000	-0.044503	-0.008727	0.011071	0.000016
1.670000	-0.045338	-0.008727	0.005548	0.000005
1.680000	-0.046282	-0.008727	0.011280	0.000010
1.690000	-0.046908	-0.003491	0.011355	0.000029
1.700000	-0.047227	-0.003491	0.007010	0.000014
1.710000	-0.047398	-0.008727	0.003773	0.000018
1.721000	-0.047668	-0.008727	0.004488	0.000023
1.730000	-0.047963	-0.008727	0.003499	0.000019
1.740000	-0.048233	-0.004987	0.005119	0.000000
1.750000	-0.048466	-0.004987	0.003079	0.000009
1.761000	-0.048699	-0.003491	0.004897	0.000010
1.770000	-0.049030	-0.004987	0.003249	0.000011
1.780000	-0.049496	-0.004987	0.002568	0.000011
1.790000	-0.050023	-0.008727	0.003505	0.000008
1.800000	-0.050575	-0.008727	0.002473	0.000007
1.810000	-0.051213	-0.008727	0.002813	0.000010
1.820000	-0.051876	-0.008727	0.003050	0.000010
1.830000	-0.052612	-0.013575	0.003655	0.000013
1.840000	-0.053348	-0.013575	0.002588	0.000015
1.850000	-0.054084	-0.004987	0.008981	0.000023
1.860000	-0.054709	-0.004987	0.001931	0.000054
1.870000	-0.055310	-0.022440	0.002463	0.000101
1.880000	-0.055850	-0.013963	0.001918	0.000100
1.890000	-0.056488	-0.013963	0.004505	0.000102
1.900000	-0.057065	-0.017453	0.009991	0.000073
1.910000	-0.057445	-0.012467	0.005983	0.000045
1.920000	-0.057653	-0.012467	0.017338	0.000003
1.930000	-0.058095	-0.008727	0.006158	0.000038
1.940000	-0.058684	-0.012467	0.004123	0.000040
1.950000	-0.059162	-0.012467	0.002385	0.000033
1.960000	-0.059346	-0.012467	0.009266	0.000032
1.971000	-0.059346	-0.012467	0.013987	0.000027
1.980000	-0.059297	-0.008727	0.010452	0.000003
1.990000	-0.059076	-0.012467	0.015278	0.000024
2.000000	-0.058598	-0.012467	0.012091	0.000046
2.011000	-0.057935	-0.013575	0.016888	0.000074
2.020000	-0.057518	-0.013575	0.011996	0.000098
2.030000	-0.057347	-0.013575	0.009014	0.000114
2.040000	-0.057310	-0.017453	0.009016	0.000123
2.050000	-0.057212	0.000000	0.011876	0.000144
2.060000	-0.056991	0.000000	0.023179	0.000149
2.070000	-0.056819	0.000000	0.014240	0.000144
2.080000	-0.056709	0.000000	0.007382	0.000129
2.090000	-0.056513	0.000000	0.004880	0.000093
2.100000	-0.056034	0.000000	0.008048	0.000045
2.110000	-0.055543	0.000000	0.013395	0.000010
2.120000	-0.055212	0.000000	0.009484	0.000009
2.130000	-0.055090	0.000000	0.002170	0.000016
2.140000	-0.055065	0.000000	0.000940	0.000018
2.150000	-0.054991	0.000000	0.004881	0.000012
2.160000	-0.054771	0.000000	0.014089	0.000006
2.170000	-0.054329	0.000000	0.015904	0.000031
2.180000	-0.053618	0.000000	0.013387	0.000059
2.190000	-0.052918	0.000000	0.013765	0.000085
2.200000	-0.052293	0.000000	0.017609	0.000109
2.210000	-0.051729	-0.003491	0.018119	0.000159
2.221000	-0.051066	0.000000	0.017475	0.000163
2.230000	-0.050465	0.000000	0.009068	0.000161
2.240000	-0.049938	0.014544	0.002498	0.000174
2.250000	-0.049606	0.014544	0.005466	0.000175
2.261000	-0.049410	0.002909	0.017993	0.000122
2.270000	-0.049373	0.009973	0.021544	0.000100
2.280000	-0.049373	0.009973	0.009954	0.000081
2.290000	-0.049373	0.000000	0.010497	0.000060
2.300000	-0.049386	0.004987	0.013629	0.000030
2.310000	-0.049422	0.004987	0.010243	0.000015
2.320000	-0.049521	0.004987	0.009126	0.000005
2.330000	-0.049594	0.004987	0.012161	0.000007
2.340000	-0.049570	0.004987	0.003902	0.000007
2.350000	-0.049557	0.004987	0.003267	0.000008
2.360000	-0.049570	0.008727	0.007921	0.000008
2.370000	-0.049619	0.008727	0.043229	0.000064
2.380000	-0.050023	0.017453	0.036320	0.000281
2.390000	-0.051078	0.017453	0.059523	0.000502
2.400000	-0.052330	0.031416	0.074734	0.001090
2.410000	-0.053691	0.014544	0.051616	0.001172
2.420000	-0.055065	0.014544	0.027767	0.001206
2.430000	-0.056365	0.002909	0.030096	0.000989
2.440000	-0.057383	0.009973	0.008891	0.000809
2.450000	-0.058303	0.009973	0.007205	0.000257
2.460000	-0.059174	0.000000	0.010247	0.000172
2.471000	-0.060070	0.000000	0.012880	0.000098
2.480000	-0.060745	0.000000	0.011178	0.000105
2.490000	-0.061247	0.000000	0.011737	0.000069
2.500000	-0.061640	0.000000	0.013352	0.000040
2.511000	-0.062033	0.000000	0.016334	0.000036
2.520000	-0.062339	0.000000	0.005145	0.000025
2.530000	-0.062658	0.000000	0.007066	0.000015
2.540000	-0.063149	0.000000	0.006647	0.000014
2.550000	-0.063873	0.000000	0.010502	0.000020
2.560000	-0.064854	0.000000	0.012263	0.000029
2.570000	-0.065897	0.000000	0.009017	0.000040
2.580000	-0.067013	0.000000	0.005698	0.000047
2.590000	-0.068055	0.000000	0.006155	0.000052
2.600000	-0.069110	0.000000	0.000895	0.000053
2.610000	-0.070043	0.000000	0.003424	0.000050
2.620000	-0.070963	0.000000	0.020341	0.000061
2.630000	-0.071993	-0.004987	0.020948	0.000058
2.640000	-0.073453	-0.004987	0.015766	0.000057
2.650000	-0.074839	-0.004987	0.011410	0.000056
2.660000	-0.076053	0.000000	0.035247	0.000097
2.670000	-0.077145	0.000000	0.002599	0.000121
2.680000	-0.078372	-0.008727	0.003354	0.000113
2.690000	-0.079402	-0.013575	0.017083	0.000127
2.700000	-0.080212	-0.013575	0.009152	0.000128
2.710000	-0.080874	-0.008727	0.017760	0.000072
2.721000	-0.081659	-0.012467	0.004613	0.000021
2.730000	-0.082506	-0.012467	0.004537	0.000018
2.740000	-0.083389	-0.017453	0.006825	0.000007
2.750000	-0.084149	-0.017453	0.011961	0.000010
2.761000	-0.084787	-0.013575	0.010508	0.000013
2.770000	-0.085155	-0.017453	0.007196	0.000030
2.780000	-0.085437	-0.017453	0.013835	0.000046
2.790000	-0.085719	-0.022440	0.022327	0.000094
2.800000	-0.085891	-0.017453	0.005536	0.000087
2.810000	-0.086038	-0.017453	0.005943	0.000090
2.820000	-0.086321	-0.017453	0.009141	0.000079
2.830000	-0.086713	-0.017453	0.005883	0.000067
2.840000	-0.087142	-0.017453	0.010474	0.000011
2.850000	-0.087731	-0.012467	0.007436	0.000030
2.860000	-0.088357	-0.017453	0.006567	0.000026
2.870000	-0.089019	-0.017453	0.006424	0.000022
2.880000	-0.089645	-0.008727	0.003026	0.000071
2.890000	-0.090148	-0.008727	0.005306	0.000104
2.900000	-0.090491	-0.008727	0.001240	0.000103
2.910000	-0.090773	-0.008727	0.004932	0.000115
2.920000	-0.091006	-0.008727	0.004985	0.000121
2.930000	-0.091117	-0.013575	0.003447	0.000074
2.940000	-0.091129	-0.022440	0.006249	0.000120
2.950000	-0.091117	-0.022440	0.025835	0.000182
2.960000	-0.091092	-0.008727	0.031564	0.000174
2.971000	-0.090859	-0.008727	0.029590	0.000170
2.980000	-0.090467	-0.004987	0.027576	0.000163
2.990000	-0.090111	-0.004987	0.019652	0.000079
3.000000	-0.089902	-0.004987	0.010421	0.000003
3.011000	-0.089902	-0.004987	0.015697	0.000024
3.020000	-0.090062	0.000000	0.011807	0.000072
3.030000	-0.090442	0.000000	0.013000	0.000102
3.040000	-0.090847	0.000000	0.014634	0.000114
3.050000	-0.091141	0.000000	0.017487	0.000107
3.060000	-0.091289	0.000000	0.022302	0.000087
3.070000	-0.091276	0.000000	0.013302	0.000049
3.080000	-0.091166	0.000000	0.012217	0.000035
3.090000	-0.090896	0.000000	0.011951	0.000030
3.100000	-0.090589	0.000000	0.009401	0.000031
3.110000	-0.090467	0.000000	0.004313	0.000030
3.120000	-0.090454	0.000000	0.009293	0.000028
3.130000	-0.090491	0.000000	0.012442	0.000032
3.140000	-0.090810	0.000000	0.013122	0.000045
3.150000	-0.091374	0.000000	0.012070	0.000052
3.160000	-0.092061	0.000000	0.016225	0.000064
3.170000	-0.092822	0.000000	0.010010	0.000075
3.180000	-0.093754	0.000000	0.018157	0.000087
3.190000	-0.094686	0.000000	0.020651	0.000107
3.200000	-0.095705	0.000000	0.030603	0.000145
3.210000	-0.096858	0.000000	0.017566	0.000184
3.221000	-0.098109	-0.004987	0.021110	0.000182
3.230000	-0.099201	-0.004987	0.013884	0.000176
3.240000	-0.100292	-0.017453	0.015607	0.000154
3.250000	-0.101310	-0.017453	0.009587	0.000118
3.261000	-0.102255	-0.013575	0.012381	0.000072
