当前时刻	小车位置	摆杆偏角	残差范数	
1.510000	-0.123390	-0.034907	0.000432
1.521000	-0.124703	-0.034907	0.000304
1.531000	-0.125758	-0.034907	0.000341
1.540000	-0.126788	-0.034907	0.000452
1.550000	-0.127794	-0.034907	0.000500
1.560000	-0.128763	-0.034907	0.000482
1.571000	-0.129708	-0.034907	0.000419
1.581000	-0.130505	-0.034907	0.000304
1.590000	-0.131253	-0.034907	0.000187
1.600000	-0.131965	-0.021332	0.013610
1.611000	-0.132750	-0.034907	0.002550
1.621000	-0.133412	-0.034907	0.002374
1.630000	-0.134013	-0.031998	0.000732
1.640000	-0.134578	-0.031998	0.000409
1.651000	-0.135154	-0.023998	0.008082
1.661000	-0.135633	-0.023998	0.006396
1.670000	-0.136086	-0.023998	0.004943
1.680000	-0.136528	-0.022440	0.005276
1.691000	-0.137031	-0.022440	0.003986
1.701000	-0.137497	-0.022440	0.002932
1.710000	-0.137951	-0.012467	0.012059
1.720000	-0.138405	-0.012467	0.009613
1.731000	-0.138883	-0.012467	0.007566
1.741000	-0.139313	-0.008727	0.009640
1.750000	-0.139754	-0.013575	0.002813
1.760000	-0.140220	-0.013575	0.002097
1.771000	-0.140785	-0.017453	0.002331
1.781000	-0.141312	-0.017453	0.001953
1.790000	-0.141889	-0.022440	0.006493
1.800000	-0.142502	-0.012467	0.004815
1.810000	-0.143164	-0.012467	0.004208
1.821000	-0.143876	-0.017453	0.001309
1.831000	-0.144501	-0.008727	0.007877
1.840000	-0.145102	-0.008727	0.006723
1.850000	-0.145691	-0.017453	0.002996
1.861000	-0.146354	-0.022440	0.007244
1.871000	-0.146967	-0.022440	0.005665
1.880000	-0.147605	-0.012467	0.005694
1.890000	-0.148267	-0.012467	0.005083
1.901000	-0.148966	-0.013575	0.003407
1.911000	-0.149567	-0.017453	0.000828
1.920000	-0.150119	-0.017453	0.000403
1.930000	-0.150647	-0.017453	0.000055
1.941000	-0.151223	-0.038397	0.020644
1.951000	-0.151751	-0.038397	0.016628
1.960000	-0.152278	-0.031416	0.006194
1.970000	-0.152781	-0.031416	0.004568
1.981000	-0.153297	-0.029920	0.001857
1.991000	-0.153677	-0.034907	0.006151
2.000000	-0.153971	-0.026180	0.003937
2.010000	-0.154180	-0.026180	0.003382
2.021000	-0.154302	-0.034907	0.005988
2.031000	-0.154351	-0.034907	0.005035
2.040000	-0.154351	-0.034907	0.004272
2.050000	-0.154339	-0.031416	0.000278
2.060000	-0.154327	-0.031416	0.000462
2.071000	-0.154302	-0.038397	0.007610
2.081000	-0.154204	-0.034907	0.003147
2.090000	-0.153971	-0.034907	0.002957
2.100000	-0.153628	-0.034907	0.002849
2.111000	-0.153174	-0.034907	0.002812
2.121000	-0.152683	-0.034907	0.002836
2.130000	-0.152107	-0.029920	0.002084
2.140000	-0.151444	-0.029920	0.001097
2.151000	-0.150647	-0.034907	0.004819
2.161000	-0.149911	-0.022440	0.007754
2.170000	-0.149138	-0.022440	0.005591
2.180000	-0.148329	-0.026180	0.000217
2.191000	-0.147347	-0.017453	0.007757
2.201000	-0.146427	-0.017453	0.005435
2.210000	-0.145470	-0.017453	0.003482
2.220000	-0.144550	-0.022440	0.003154
2.231000	-0.143532	-0.022440	0.003566
