当前时刻	小车位置	摆杆偏角	指标11	指标12	指标2	估计误差能量	
0.870000	-0.003042	-0.003491	0.000038	0.000045	0.000002	0.000012
0.880000	-0.003128	0.000000	0.000006	0.000006	0.000006	0.000008
0.889000	-0.003214	0.000000	0.000011	0.000011	0.000018	0.000003
0.899000	-0.003287	0.000000	0.000010	0.000010	0.000018	0.000003
0.910000	-0.003373	0.000000	0.000011	0.000010	0.000018	0.000003
0.920000	-0.003459	0.000000	0.000002	0.000002	0.000025	0.000000
0.929000	-0.003521	0.000000	0.000003	0.000005	0.000025	0.000000
0.939000	-0.003594	0.000000	0.000000	0.000002	0.000025	0.000000
0.950000	-0.003680	0.004987	0.000038	0.000066	0.000012	0.000006
0.960000	-0.003754	0.000000	0.000041	0.000044	0.000012	0.000006
0.969000	-0.003827	0.000000	0.000041	0.000041	0.000012	0.000006
0.979000	-0.003913	-0.003491	0.000050	0.000067	0.000005	0.000009
0.989000	-0.003999	0.000000	0.000050	0.000053	0.000005	0.000009
1.000000	-0.004097	0.000000	0.000012	0.000011	0.000018	0.000003
1.009000	-0.004183	0.000000	0.000010	0.000008	0.000018	0.000003
1.019000	-0.004281	0.000000	0.000010	0.000011	0.000018	0.000003
1.029000	-0.004379	0.000000	0.000001	0.000003	0.000025	0.000000
1.040000	-0.004477	0.000000	0.000001	0.000001	0.000025	0.000000
1.049000	-0.004575	0.010472	0.000001	0.000027	0.000030	0.000023
1.059000	-0.004661	0.010472	0.000041	0.000059	0.000068	0.000040
1.069000	-0.004772	0.010472	0.000063	0.000097	0.000093	0.000051
1.080000	-0.004882	0.010472	0.000068	0.000061	0.000110	0.000058
1.089000	-0.005017	0.000000	0.000064	0.000045	0.000125	0.000064
1.099000	-0.005189	0.000000	0.000053	0.000050	0.000080	0.000045
1.109000	-0.005385	0.000000	0.000034	0.000026	0.000049	0.000032
1.120000	-0.005643	0.000000	0.000017	0.000025	0.000027	0.000023
1.130000	-0.005888	0.010472	0.000027	0.000039	0.000044	0.000029
1.139000	-0.006146	0.010472	0.000011	0.000003	0.000053	0.000032
1.149000	-0.006403	0.000000	0.000016	0.000003	0.000052	0.000032
1.160000	-0.006685	0.000000	0.000024	0.000002	0.000051	0.000032
1.170000	-0.006980	0.000000	0.000023	0.000011	0.000050	0.000031
1.179000	-0.007262	0.002909	0.000052	0.000051	0.000017	0.000018
1.189000	-0.007569	0.002909	0.000035	0.000037	0.000007	0.000009
1.200000	-0.007912	0.000000	0.000034	0.000030	0.000015	0.000005
1.210000	-0.008219	0.000000	0.000017	0.000018	0.000020	0.000003
1.219000	-0.008538	0.000000	0.000022	0.000023	0.000022	0.000002
1.229000	-0.008869	0.000000	0.000011	0.000012	0.000023	0.000002
1.239000	-0.009212	0.000000	0.000008	0.000008	0.000024	0.000001
1.250000	-0.009580	0.000000	0.000004	0.000003	0.000025	0.000001
1.259000	-0.009924	0.000000	0.000002	0.000002	0.000025	0.000000
1.269000	-0.010255	0.000000	0.000003	0.000005	0.000025	0.000000
1.279000	-0.010574	0.000000	0.000000	0.000000	0.000024	0.000000
1.290000	-0.010917	0.004363	0.000005	0.000008	0.000011	0.000006
1.299000	-0.011212	0.000000	0.000004	0.000003	0.000011	0.000006
1.309000	-0.011506	0.000000	0.000005	0.000007	0.000011	0.000005
1.319000	-0.011788	0.004363	0.000010	0.000026	0.000001	0.000010
1.330000	-0.012119	0.004363	0.000033	0.000037	0.000007	0.000013
1.339000	-0.012426	0.000000	0.000024	0.000028	0.000006	0.000008
1.349000	-0.012745	0.000000	0.000025	0.000025	0.000006	0.000008
1.359000	-0.013064	0.000000	0.000025	0.000025	0.000006	0.000008
1.370000	-0.013444	0.000000	0.000023	0.000023	0.000017	0.000004
1.380000	-0.013812	0.004363	0.000011	0.000009	0.000015	0.000004
1.389000	-0.014205	0.004363	0.000004	0.000023	0.000007	0.000007
1.399000	-0.014610	0.000000	0.000003	0.000003	0.000007	0.000007
1.410000	-0.015051	0.000000	0.000003	0.000004	0.000007	0.000007
1.420000	-0.015468	0.000000	0.000002	0.000002	0.000007	0.000007
1.429000	-0.015898	0.000000	0.000010	0.000011	0.000017	0.000004
1.439000	-0.016315	0.000000	0.000001	0.000001	0.000025	0.000000
1.450000	-0.016756	0.000000	0.000003	0.000004	0.000025	0.000000
1.460000	-0.017173	-0.004987	0.000004	0.000013	0.000017	0.000004
1.469000	-0.017578	-0.004987	0.000018	0.000026	0.000013	0.000007
1.479000	-0.017995	0.000000	0.000028	0.000024	0.000009	0.000008
1.489000	-0.018412	0.000000	0.000036	0.000047	0.000006	0.000009
1.500000	-0.018878	0.000000	0.000048	0.000037	0.000003	0.000010
1.509000	-0.019308	0.000000	0.000038	0.000034	0.000009	0.000007
1.519000	-0.019737	0.000000	0.000020	0.000005	0.000011	0.000005
1.529000	-0.020179	0.000000	0.000010	0.000010	0.000013	0.000004
1.540000	-0.020669	0.000000	0.000007	0.000005	0.000015	0.000004
1.549000	-0.021099	0.000000	0.000001	0.000009	0.000016	0.000003
1.559000	-0.021503	0.000000	0.000008	0.000009	0.000017	0.000003
1.569000	-0.021921	0.000000	0.000009	0.000017	0.000018	0.000003
1.580000	-0.022374	0.000000	0.000008	0.000015	0.000019	0.000002
1.589000	-0.022804	0.000000	0.000004	0.000007	0.000019	0.000002
1.599000	-0.023258	0.000000	0.000001	0.000001	0.000020	0.000002
1.609000	-0.023699	0.000000	0.000001	0.000005	0.000020	0.000002
1.620000	-0.024227	0.000000	0.000001	0.000001	0.000020	0.000002
1.630000	-0.024730	0.000000	0.000004	0.000007	0.000020	0.000002
1.639000	-0.025257	0.000000	0.000004	0.000009	0.000020	0.000002
1.649000	-0.025785	0.000000	0.000001	0.000003	0.000020	0.000002
1.660000	-0.026337	0.000000	0.000001	0.000004	0.000020	0.000002
1.670000	-0.026852	0.000000	0.000001	0.000001	0.000020	0.000002
1.679000	-0.027367	0.000000	0.000003	0.000016	0.000020	0.000002
1.689000	-0.027882	0.000000	0.000003	0.000005	0.000020	0.000002
1.700000	-0.028434	-0.004987	0.000005	0.000003	0.000016	0.000004
1.710000	-0.028974	-0.004987	0.000000	0.000004	0.000014	0.000005
1.719000	-0.029550	-0.004987	0.000010	0.000016	0.000014	0.000006
1.729000	-0.030139	0.000000	0.000007	0.000022	0.000007	0.000008
1.739000	-0.030740	0.000000	0.000028	0.000018	0.000002	0.000010
1.750000	-0.031366	0.000000	0.000032	0.000038	0.000001	0.000010
1.759000	-0.031906	0.000000	0.000025	0.000011	0.000001	0.000010
1.769000	-0.032445	0.000000	0.000020	0.000006	0.000003	0.000010
1.779000	-0.032973	-0.012467	0.000014	0.000003	0.000041	0.000028
1.790000	-0.033574	0.000000	0.000007	0.000007	0.000045	0.000029
1.799000	-0.034114	0.000000	0.000001	0.000016	0.000048	0.000030
1.809000	-0.034678	0.000000	0.000007	0.000006	0.000050	0.000031
1.819000	-0.035279	0.000000	0.000012	0.000018	0.000052	0.000032
1.830000	-0.035954	0.000000	0.000013	0.000011	0.000011	0.000013
1.839000	-0.036542	0.000000	0.000002	0.000003	0.000004	0.000011
1.849000	-0.037131	0.000000	0.000003	0.000005	0.000001	0.000009
1.859000	-0.037708	0.000000	0.000003	0.000012	0.000005	0.000008
1.870000	-0.038358	0.000000	0.000005	0.000008	0.000008	0.000006
1.880000	-0.038959	0.000000	0.000016	0.000022	0.000010	0.000006
1.889000	-0.039572	0.000000	0.000013	0.000023	0.000012	0.000005
1.899000	-0.040247	0.000000	0.000003	0.000003	0.000013	0.000004
1.910000	-0.041020	0.000000	0.000003	0.000008	0.000013	0.000004
1.920000	-0.041731	0.000000	0.000004	0.000004	0.000014	0.000004
1.929000	-0.042443	0.000000	0.000003	0.000001	0.000014	0.000004
1.939000	-0.043117	0.000000	0.000016	0.000006	0.000014	0.000004
1.950000	-0.043878	0.000000	0.000013	0.000017	0.000014	0.000004
1.960000	-0.044602	0.000000	0.000022	0.000021	0.000014	0.000004
1.969000	-0.045362	0.000000	0.000016	0.000017	0.000013	0.000004
1.979000	-0.046159	0.000000	0.000012	0.000009	0.000013	0.000004
1.989000	-0.046969	0.000000	0.000017	0.000018	0.000012	0.000004
2.000000	-0.047828	0.000000	0.000021	0.000022	0.000012	0.000005
2.009000	-0.048613	-0.008727	0.000005	0.000016	0.000004	0.000013
2.019000	-0.049398	0.000000	0.000015	0.000011	0.000009	0.000014
2.029000	-0.050207	0.000000	0.000026	0.000019	0.000014	0.000016
2.040000	-0.051152	-0.004987	0.000019	0.000024	0.000012	0.000016
2.049000	-0.052023	-0.008727	0.000023	0.000022	0.000017	0.000019
2.059000	-0.052857	-0.008727	0.000042	0.000044	0.000003	0.000013
2.069000	-0.053667	-0.008727	0.000023	0.000026	0.000004	0.000012
2.080000	-0.054550	-0.008727	0.000020	0.000015	0.000011	0.000010
2.089000	-0.055359	-0.004987	0.000008	0.000008	0.000005	0.000011
2.099000	-0.056206	0.000000	0.000067	0.000097	0.000021	0.000020
2.109000	-0.057040	0.000000	0.000038	0.000024	0.000044	0.000027
