当前时刻	小车位置	摆杆偏角	指标11	指标12	指标2	旧时间	新时间	
0.731000	-0.014695	0.006981	0.000390	0.000420	0.002731	0.000000045	0.000000108
0.740000	-0.014965	0.000000	0.000231	0.000253	0.001872	0.000000044	0.000000123
0.750000	-0.015198	0.000000	0.000223	0.000230	0.001847	0.000000032	0.000000183
0.761000	-0.015419	0.000000	0.000103	0.000101	0.000767	0.000000048	0.000000168
0.771000	-0.015628	0.000000	0.000136	0.000146	0.000723	0.000000044	0.000000143
0.780000	-0.015836	0.006981	0.000289	0.000418	0.001847	0.000000034	0.000000170
0.790000	-0.016045	0.006981	0.000271	0.000271	0.001736	0.000000045	0.000000166
0.801000	-0.016266	0.010472	0.000278	0.000340	0.001853	0.000000044	0.000000156
0.811000	-0.016474	0.010472	0.000384	0.000271	0.002438	0.000000050	0.000000166
0.820000	-0.016707	0.005818	0.000319	0.000432	0.002317	0.000000045	0.000000139
0.830000	-0.016977	0.000000	0.000733	0.000980	0.003943	0.000000044	0.000000239
0.840000	-0.017296	0.000000	0.000707	0.000776	0.004126	0.000000046	0.000000147
0.851000	-0.017713	0.000000	0.000694	0.000643	0.004509	0.000000044	0.000000123
0.860000	-0.018179	0.002909	0.000580	0.000557	0.004090	0.000000019	0.000000217
0.870000	-0.018719	0.002909	0.000737	0.000835	0.005342	0.000000038	0.000000186
0.880000	-0.019283	0.002909	0.000148	0.000148	0.002472	0.000000044	0.000000145
0.891000	-0.019921	0.010472	0.000240	0.000219	0.002618	0.000000045	0.000000153
0.900000	-0.020424	0.010472	0.000292	0.000300	0.002265	0.000000042	0.000000129
0.910000	-0.020890	0.005818	0.000376	0.000338	0.002834	0.000000044	0.000000151
0.920000	-0.021307	0.005818	0.000224	0.000192	0.001393	0.000000054	0.000000175
0.931000	-0.021700	0.004987	0.000216	0.000202	0.001484	0.000000045	0.000000143
0.940000	-0.022031	0.010472	0.000527	0.000835	0.003829	0.000000048	0.000000158
0.950000	-0.022325	0.010472	0.001099	0.001533	0.007037	0.000000038	0.000000162
0.960000	-0.022620	0.002909	0.001289	0.001648	0.008532	0.000000046	0.000000153
0.971000	-0.022951	0.000000	0.001275	0.001286	0.008515	0.000000021	0.000000179
0.981000	-0.023245	0.000000	0.001352	0.001484	0.008864	0.000000048	0.000000169
0.990000	-0.023552	0.000000	0.001036	0.000921	0.006702	0.000000046	0.000000144
1.000000	-0.023859	0.000000	0.000523	0.000440	0.004366	0.000000045	0.000000158
1.011000	-0.024202	0.000000	0.000275	0.000260	0.002162	0.000000045	0.000000159
1.021000	-0.024558	0.002909	0.000311	0.000371	0.002467	0.000000045	0.000000133
1.030000	-0.024914	0.004987	0.000315	0.000453	0.002504	0.000000048	0.000000206
1.040000	-0.025257	0.004987	0.000313	0.000196	0.002478	0.000000045	0.000000169
1.051000	-0.025613	0.005818	0.000202	0.000251	0.001634	0.000000045	0.000000145
1.061000	-0.025944	0.005818	0.000353	0.000423	0.002152	0.000000048	0.000000165
1.070000	-0.026275	0.010472	0.000317	0.000352	0.001859	0.000000046	0.000000161
1.080000	-0.026655	0.010472	0.000217	0.000244	0.001599	0.000000049	0.000000150
1.090000	-0.027048	0.010472	0.000146	0.000117	0.001333	0.000000043	0.000000136
1.101000	-0.027514	0.017453	0.000146	0.000146	0.001132	0.000000013	0.000000163
1.110000	-0.027968	0.014544	0.000454	0.000277	0.004048	0.000000044	0.000000158
1.120000	-0.028410	0.014544	0.000467	0.000510	0.004131	0.000000045	0.000000181
1.130000	-0.028827	0.011636	0.000556	0.000603	0.004432	0.000000045	0.000000127
1.141000	-0.029219	0.010472	0.000643	0.000679	0.004510	0.000000045	0.000000158
1.150000	-0.029501	0.010472	0.000688	0.000800	0.005054	0.000000055	0.000000139
1.160000	-0.029747	0.011636	0.000619	0.000172	0.004224	0.000000015	0.000000210
1.170000	-0.029943	0.011636	0.000680	0.000868	0.004791	0.000000045	0.000000158
1.181000	-0.030139	0.004987	0.001723	0.001684	0.010019	0.000000048	0.000000169
1.190000	-0.030335	0.005818	0.001632	0.001622	0.009715	0.000000048	0.000000157
1.200000	-0.030569	0.005818	0.001854	0.001644	0.012059	0.000000045	0.000000132
1.210000	-0.030814	0.008727	0.001520	0.001568	0.010248	0.000000045	0.000000314
1.221000	-0.031096	0.007480	0.001434	0.001436	0.009520	0.000000045	0.000000156
1.231000	-0.031366	0.007480	0.000578	0.000600	0.005207	0.000000045	0.000000129
1.240000	-0.031660	0.011636	0.000596	0.000580	0.005263	0.000000045	0.000000134
1.250000	-0.032004	0.017453	0.000406	0.000318	0.002686	0.000000060	0.000000178
1.261000	-0.032445	0.017453	0.000503	0.000501	0.003488	0.000000050	0.000000163
1.271000	-0.032911	0.017453	0.000632	0.000731	0.004349	0.000000047	0.000000187
1.280000	-0.033427	0.027925	0.000454	0.000463	0.003317	0.000000045	0.000000159
1.290000	-0.033979	0.027925	0.000462	0.000452	0.003257	0.000000046	0.000000131
1.301000	-0.034567	0.017453	0.000388	0.000524	0.003258	0.000000043	0.000000135
1.311000	-0.035107	0.017453	0.000214	0.000219	0.001843	0.000000048	0.000000156
1.320000	-0.035622	0.027925	0.000085	0.000174	0.001172	0.000000044	0.000000133
1.330000	-0.036138	0.017453	0.000366	0.000427	0.002451	0.000000019	0.000000181
1.340000	-0.036665	0.017453	0.000484	0.000365	0.002802	0.000000045	0.000000142
1.351000	-0.037266	0.020362	0.000643	0.000592	0.004586	0.000000049	0.000000150
1.360000	-0.037879	0.014544	0.000697	0.000696	0.004493	0.000000025	0.000000225
1.370000	-0.038554	0.014544	0.000834	0.000833	0.004610	0.000000046	0.000000158
1.380000	-0.039290	0.030543	0.000585	0.000349	0.004660	0.000000043	0.000000137
1.391000	-0.040124	0.034907	0.000463	0.000459	0.004518	0.000000045	0.000000158
1.400000	-0.040848	0.034907	0.000281	0.000277	0.002480	0.000000045	0.000000149
1.410000	-0.041535	0.017453	0.000433	0.000514	0.004086	0.000000045	0.000000157
1.420000	-0.042210	0.017453	0.000339	0.000312	0.003980	0.000000046	0.000000158
1.431000	-0.042933	0.023271	0.000279	0.000289	0.002555	0.000000046	0.000000150
1.440000	-0.043596	0.021817	0.000295	0.000289	0.002403	0.000000044	0.000000172
1.450000	-0.044209	0.021817	0.000456	0.000495	0.003345	0.000000033	0.000000189
1.460000	-0.044773	0.027925	0.000267	0.000301	0.001739	0.000000024	0.000000206
1.471000	-0.045325	0.034907	0.000444	0.000565	0.002540	0.000000045	0.000000170
1.481000	-0.045779	0.034907	0.000589	0.000519	0.003679	0.000000045	0.000000138
1.490000	-0.046209	0.034907	0.000708	0.000869	0.004418	0.000000045	0.000000166
1.500000	-0.046613	0.026180	0.000651	0.000546	0.003826	0.000000054	0.000000171
1.511000	-0.047055	0.026180	0.000704	0.000780	0.004644	0.000000046	0.000000168
1.521000	-0.047447	0.030543	0.000552	0.000829	0.004405	0.000000045	0.000000140
1.530000	-0.047791	0.030543	0.000367	0.000368	0.002995	0.000000031	0.000000186
1.540000	-0.048122	0.030543	0.000314	0.000283	0.002537	0.000000049	0.000000110
1.551000	-0.048441	0.034907	0.000241	0.000295	0.002300	0.000000035	0.000000162
1.561000	-0.048723	0.034907	0.000179	0.000181	0.001365	0.000000048	0.000000177
1.570000	-0.048969	0.039270	0.000190	0.000109	0.001652	0.000000046	0.000000153
1.580000	-0.049214	0.047997	0.000204	0.000126	0.001833	0.000000045	0.000000176
1.590000	-0.049459	0.047997	0.000128	0.000144	0.001499	0.000000057	0.000000148
1.601000	-0.049766	0.045379	0.000138	0.000125	0.001421	0.000000045	0.000000143
1.610000	-0.050109	0.047997	0.000189	0.000110	0.001807	0.000000015	0.000000219
1.620000	-0.050502	0.047997	0.000101	0.000106	0.000812	0.000000049	0.000000158
1.630000	-0.050956	0.046542	0.000286	0.000384	0.001677	0.000000049	0.000000149
1.641000	-0.051495	0.047997	0.000313	0.000225	0.002140	0.000000040	0.000000160
1.650000	-0.052011	0.047997	0.000329	0.000292	0.002315	0.000000053	0.000000140
1.660000	-0.052563	0.052360	0.000362	0.000440	0.002466	0.000000045	0.000000157
1.670000	-0.053127	0.052360	0.000353	0.000359	0.002393	0.000000045	0.000000157
1.681000	-0.053740	0.052360	0.000241	0.000161	0.002181	0.000000044	0.000000134
1.690000	-0.054255	0.065450	0.000230	0.000245	0.001897	0.000000045	0.000000141
1.700000	-0.054783	0.065450	0.000215	0.000206	0.001688	0.000000058	0.000000181
1.710000	-0.055286	0.052360	0.000162	0.000130	0.001270	0.000000045	0.000000123
1.721000	-0.055838	0.056723	0.000551	0.000824	0.003477	0.000000046	0.000000208
1.731000	-0.056329	0.056723	0.000477	0.000583	0.003025	0.000000046	0.000000199
1.740000	-0.056819	0.063995	0.000791	0.000610	0.005152	0.000000044	0.000000170
1.750000	-0.057285	0.069813	0.000777	0.000769	0.005130	0.000000014	0.000000230
1.761000	-0.057813	0.069813	0.000810	0.000923	0.005371	0.000000015	0.000000229
1.771000	-0.058316	0.069813	0.000428	0.000339	0.003391	0.000000039	0.000000161
1.780000	-0.058843	0.069813	0.000418	0.000417	0.002999	0.000000014	0.000000218
1.790000	-0.059383	0.069813	0.000078	0.000059	0.000814	0.000000048	0.000000153
1.801000	-0.060045	0.087266	0.000098	0.000165	0.000937	0.000000019	0.000000185
1.811000	-0.060634	0.087266	0.000055	0.000065	0.000646	0.000000032	0.000000200
1.820000	-0.061223	0.087266	0.000239	0.000330	0.001754	0.000000049	0.000000167
1.830000	-0.061787	0.087266	0.000263	0.000254	0.001803	0.000000048	0.000000191
1.840000	-0.062327	0.087266	0.000418	0.000502	0.002814	0.000000043	0.000000166
1.851000	-0.062903	0.093084	0.000439	0.000502	0.002878	0.000000024	0.000000170
1.860000	-0.063443	0.098902	0.000446	0.000490	0.002943	0.000000024	0.000000210
1.870000	-0.063971	0.098902	0.000321	0.000273	0.002223	0.000000020	0.000000219
1.880000	-0.064510	0.098902	0.000358	0.000431	0.002477	0.000000031	0.000000187
1.891000	-0.065038	0.104720	0.000275	0.000386	0.001654	0.000000046	0.000000187
1.900000	-0.065492	0.104720	0.000347	0.000332	0.002320	0.000000034	0.000000183
1.910000	-0.065872	0.104720	0.000366	0.000407	0.002393	0.000000041	0.000000208
1.920000	-0.066215	0.104720	0.000281	0.000282	0.001819	0.000000033	0.000000189
1.931000	-0.066547	0.113446	0.000223	0.000219	0.001489	0.000000048	0.000000236
1.940000	-0.066829	0.122173	0.000222	0.000115	0.001548	0.000000044	0.000000175
1.950000	-0.067099	0.122173	0.000108	0.000104	0.000704	0.000000015	0.000000220
1.960000	-0.067369	0.130900	0.000257	0.000243	0.001055	0.000000024	0.000000243
1.971000	-0.067626	0.139626	0.000429	0.000403	0.002935	0.000000024	0.000000262
1.981000	-0.067835	0.139626	0.000455	0.000493	0.003302	0.000000038	0.000000166
1.990000	-0.068006	0.148353	0.000552	0.000578	0.003658	0.000000037	0.000000186
2.000000	-0.068190	0.157080	0.000580	0.000586	0.003646	0.000000023	0.000000183
2.011000	-0.068411	0.157080	0.000402	0.000398	0.003094	0.000000020	0.000000240
2.021000	-0.068632	0.174533	0.000246	0.000239	0.001192	0.000000034	0.000000166
2.030000	-0.068853	0.174533	0.000194	0.000215	0.000910	0.000000015	0.000000218
2.040000	-0.069098	0.174533	0.000302	0.000612	0.002800	0.000000049	0.000000160
2.051000	-0.069356	0.191986	0.000376	0.000365	0.003422	0.000000019	0.000000207
2.061000	-0.069613	0.205076	0.000405	0.000414	0.003485	0.000000042	0.000000193
2.070000	-0.069883	0.205076	0.000534	0.000476	0.004573	0.000000046	0.000000157
2.080000	-0.070178	0.230383	0.000825	0.000527	0.005967	0.000000015	0.000000242
