当前时刻	小车位置	摆杆偏角	指标11	指标12	指标2	deta1	deta2	估计误差	inc11u	inc12u	inc2u	
0.510000	-0.000564	-0.004987	0.000035	0.000032	0.000006	0.000020	0.000013	0.000008	0.000035	0.000032	0.000006
0.521000	-0.000577	-0.008727	0.000015	0.000008	0.000017	0.000043	0.000041	0.000019	0.000015	0.000008	0.000017
0.531000	-0.000577	-0.008727	0.000019	0.000056	0.000033	0.000059	0.000112	0.000025	0.000019	0.000056	0.000033
0.540000	-0.000589	-0.008727	0.000017	0.000004	0.000043	0.000069	0.000205	0.000030	0.000017	0.000004	0.000043
0.550000	-0.000577	-0.008727	0.000012	0.000011	0.000038	0.000064	0.000294	0.000028	0.000012	0.000011	0.000038
0.561000	-0.000577	-0.003491	0.000007	0.000011	0.000033	0.000059	0.000356	0.000026	0.000007	0.000011	0.000033
0.571000	-0.000564	-0.003491	0.000008	0.000010	0.000012	0.000037	0.000361	0.000016	0.000008	0.000010	0.000012
0.580000	-0.000564	-0.008727	0.000001	0.000021	0.000004	0.000029	0.000332	0.000012	0.000001	0.000021	0.000004
0.590000	-0.000552	-0.008727	0.000020	0.000025	0.000001	0.000025	0.000282	0.000009	0.000020	0.000025	0.000001
0.601000	-0.000503	-0.008727	0.000006	0.000012	0.000003	0.000022	0.000238	0.000008	0.000006	0.000012	0.000003
0.611000	-0.000429	-0.008727	0.000013	0.000011	0.000002	0.000023	0.000215	0.000008	0.000013	0.000011	0.000002
0.620000	-0.000307	-0.008727	0.000016	0.000023	0.000002	0.000024	0.000245	0.000008	0.000016	0.000023	0.000002
0.630000	-0.000110	-0.003491	0.000019	0.000024	0.000004	0.000022	0.000281	0.000008	0.000019	0.000024	0.000004
0.641000	0.000172	-0.004987	0.000002	0.000005	0.000009	0.000016	0.000393	0.000006	0.000002	0.000005	0.000009
0.651000	0.000454	-0.004987	0.000006	0.000005	0.000014	0.000012	0.000551	0.000005	0.000006	0.000005	0.000014
0.660000	0.000761	0.000000	0.000012	0.000005	0.000004	0.000021	0.000742	0.000010	0.000012	0.000005	0.000004
0.670000	0.001092	0.000000	0.000006	0.000010	0.000001	0.000026	0.001053	0.000013	0.000006	0.000010	0.000001
0.681000	0.001460	0.000000	0.000004	0.000008	0.000000	0.000026	0.001427	0.000012	0.000004	0.000008	0.000000
0.691000	0.001791	-0.008727	0.000030	0.000050	0.000021	0.000047	0.001754	0.000020	0.000030	0.000050	0.000021
0.700000	0.002134	0.000000	0.000023	0.000026	0.000026	0.000051	0.001833	0.000022	0.000023	0.000026	0.000026
0.710000	0.002466	0.000000	0.000019	0.000021	0.000015	0.000041	0.001942	0.000017	0.000019	0.000021	0.000015
0.721000	0.002834	0.000000	0.000026	0.000033	0.000009	0.000035	0.001959	0.000014	0.000026	0.000033	0.000009
0.731000	0.003140	0.000000	0.000027	0.000026	0.000005	0.000031	0.001909	0.000012	0.000027	0.000026	0.000005
